Episode95 TotalReward=-10.39 AverageLoss=26.6443259174 AverageValue=[[-7.97020864 -7.95794535]]
Episode96 TotalReward=-98.86009693821886 AverageLoss=31.2894926112 AverageValue=[[-8.04514694 -8.16866207]]
Episode97 TotalReward=-68.47326050822515 AverageLoss=30.0794385068 AverageValue=[[-4.39670467 -4.47278309]]
Episode98 TotalReward=-47.75 AverageLoss=36.1064773299 AverageValue=[[-12.63169861 -12.78223133]]
Episode99 TotalReward=-39.18999999999999 AverageLoss=28.4317914378 AverageValue=[[-12.21234703 -12.32901764]]
Episode100 TotalReward=-39.68999999999999 AverageLoss=44.1395539414 AverageValue=[[-8.44003391 -8.41803932]]
Episode101 TotalReward=-49.120000000000005 AverageLoss=37.6108687807 AverageValue=[[-10.65210819 -10.62910271]]
Episode102 TotalReward=-83.0453543699779 AverageLoss=28.4707760239 AverageValue=[[-16.91932869 -16.76435852]]
Episode103 TotalReward=-43.62 AverageLoss=21.4155887325 AverageValue=[[-7.44248486 -7.43740129]]
Episode104 TotalReward=-74.86756872396802 AverageLoss=18.0267834595 AverageValue=[[-7.07925987 -7.08619595]]
Episode105 TotalReward=-453.9161667222522 AverageLoss=29.1955903641 AverageValue=[[-9.59815121 -9.61330605]]
Episode106 TotalReward=-40.21 AverageLoss=44.3005351846 AverageValue=[[-10.16323376 -10.12992001]]
Episode107 TotalReward=-42.15 AverageLoss=29.9445134055 AverageValue=[[-10.79806137 -10.85579777]]
Episode108 TotalReward=-117.73049398107162 AverageLoss=29.1101809547 AverageValue=[[-11.1328249  -11.28656673]]
Episode109 TotalReward=-475.8461874895592 AverageLoss=30.2086653415 AverageValue=[[-6.95458746 -7.13925552]]
Episode110 TotalReward=-142.56575696656103 AverageLoss=32.8595607775 AverageValue=[[-7.87218428 -7.82845211]]
Episode111 TotalReward=-400.8229397169396 AverageLoss=20.2844387038 AverageValue=[[-8.2385664  -8.32588196]]
Episode112 TotalReward=-378.7009568187672 AverageLoss=35.6195110618 AverageValue=[[-7.75895882 -7.86086035]]
Episode113 TotalReward=-421.8769908797664 AverageLoss=30.3672211794 AverageValue=[[-8.96156025 -8.99557686]]
Episode114 TotalReward=-180.09855672227957 AverageLoss=39.2849156954 AverageValue=[[-7.21429539 -7.36210203]]
Episode115 TotalReward=-177.49890136575837 AverageLoss=21.7287226093 AverageValue=[[-7.97534418 -8.02613258]]
Episode116 TotalReward=-130.819300822768 AverageLoss=29.5536449134 AverageValue=[[-5.99386549 -6.10424662]]
Episode117 TotalReward=-423.6864669894648 AverageLoss=31.4166756933 AverageValue=[[-10.65619946 -10.64774609]]
Episode118 TotalReward=-401.57428327914386 AverageLoss=17.5902112547 AverageValue=[[-9.80737305 -9.85827732]]
Episode119 TotalReward=-284.04790402068795 AverageLoss=35.9201946525 AverageValue=[[-10.25789356 -10.22418022]]
Episode120 TotalReward=-381.4796853249326 AverageLoss=45.0013518562 AverageValue=[[-10.59823322 -10.52011585]]
Episode121 TotalReward=-34.74999999999998 AverageLoss=13.2071357418 AverageValue=[[-7.4533782  -7.56228733]]
Episode122 TotalReward=-37.71999999999999 AverageLoss=29.369450965 AverageValue=[[-8.31308365 -8.34170246]]
Episode123 TotalReward=-36.72999999999999 AverageLoss=77.4200572403 AverageValue=[[-8.6124773  -8.64896965]]
Episode124 TotalReward=-243.19775871728135 AverageLoss=31.6559033732 AverageValue=[[-10.63792419 -10.73998165]]
Episode125 TotalReward=-38.209999999999994 AverageLoss=22.5614330891 AverageValue=[[-9.43016434 -9.47551537]]
Episode126 TotalReward=-43.78579332815395 AverageLoss=30.1299563887 AverageValue=[[-10.14089298 -10.21092701]]
Episode127 TotalReward=-47.11 AverageLoss=47.7470883479 AverageValue=[[-9.66740704 -9.82882786]]
Episode128 TotalReward=-44.902155238636105 AverageLoss=49.5261008807 AverageValue=[[-6.02840948 -6.1028862 ]]
Episode129 TotalReward=-141.53902204043595 AverageLoss=28.3619651606 AverageValue=[[-9.20787621 -9.29991531]]
Episode130 TotalReward=-39.14999999999999 AverageLoss=47.5651064605 AverageValue=[[-7.66039562 -7.68493891]]
